timestamp,target,cmi,level,error,authority,emotional,logical,statistical,hype,clickbait,propaganda,fear,enemy_frame,disclaimer_exploit,anonymous_authority,naked_number,sexual_induction,beauty_diet,human_label,riskfactor
46122.49583,AD_001,61.4,HIGH,,1,0.797,1,1,1,0,0,0.273,0.342,0,0.091,1,0,0,HIGH,No academic/empirical support
46122.49583,AD_002,37.9,MEDIUM,,0,0.136,1,1,0.328,0,0,0.328,0.409,0,0,1,0,0,HIGH,No academic/empirical support
46122.49583,AD_019,11.9,LOW,,0,0.059,0,0.235,0,0,0,0,1,0,0,0,0,0,MEDIUM,Emotional Induction
46122.49583,AD_020,35.4,MEDIUM,,0.31,0.226,0.678,1,0.232,0,0,0.077,0.194,0,0,1,0,0,MEDIUM,Desire Activation
46122.49583,BL_015,35.2,MEDIUM,,0,1,0,0.798,0,0,0,0,1,0,0,1,0,0,MEDIUM,Emotional Induction
46122.49583,BL_017,11.9,LOW,,0,0.059,0,0.236,0,0,0,0,1,0,0,0,0,0,MEDIUM,No numerical evidence
46122.49583,Bl_018,15.4,LOW,,0,0.152,1,0,0.73,0,0,0,0,0,0,0,0,0,MEDIUM,Emotional Induction
46122.49583,SN_003,18,LOW,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,MEDIUM,Desire Activation
46122.49583,SN_004,61.8,HIGH,,0.651,1,1,1,1,0,0,1,0,0,0,1,0,0,HIGH,Desire Activation
46122.49583,SN_005,33.7,LOW,,0,0.466,0,0.931,1,0,0,0,1,0,0,0,0,1,MEDIUM,Emotional Induction
46122.49583,SN_006,14,LOW,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Emotional Induction
46122.49583,SN_007,23.1,LOW,,0,0.157,0,1,0,0,0,0,0.943,0,0,0,0,0,MEDIUM,Emotional Induction
46122.49583,SN_009,27.2,LOW,,0,0.519,1,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Emotional Induction
46122.49583,SN_010,18,LOW,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,MEDIUM,No academic/empirical support
46122.49583,SN_011,0,LOW,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDIUM,Desire Activation
46122.49583,SN_012,10.6,LOW,,0,0.264,1,0,0,0,0,0,0,0,0,0,0,0,LOW,No academic/empirical support
46122.49583,SN_013,33.6,LOW,,0,0.694,0,1,0,0,0,0,0.833,0,0,1,0,0,MEDIUM,No academic/empirical support
46122.49583,SN_014,0,LOW,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDIUM,Emotional Induction
46122.49583,SN_015,14,LOW,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Emotional Induction
46122.49583,WEB_016,49,MEDIUM,,0.791,0.311,0.467,1,0.746,0,0,0.373,0.467,0,0,1,0,0,HIGH,No academic/empirical support
46122.49583,AD_028,36.4,MEDIUM,,0.057,0.251,0.501,1,0,0,0,0.229,0.358,0,0.076,1,1,0,MEDIUM,Desire Activation
46122.49583,Bl_026,29.5,LOW,,0,0.859,1,0,0,0,0,0,0.859,0,0,1,0,0,MEDIUM,No academic/empirical support
46122.49583,SN_021,26,LOW,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,MEDIUM,No academic/empirical support
46122.49583,SN_027,14,LOW,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,No academic/empirical support
46122.49583,SN_24,15.5,LOW,,0,0.147,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Safety claims inconsistent with reality
46122.49583,WEB_022,38,MEDIUM,,0.722,0.469,0.704,1,0.282,0,0,0,0.352,0,0,0,0,0.352,MEDIUM,No academic/empirical support
46122.49583,WEB_023,33.7,LOW,,1,0.217,0,0.65,0.13,0.325,0,0.52,0.488,0,0,0,0,0,HIGH,Emotional Induction
46122.49583,AD_030,2.9,LOW,,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0,LOW,
46122.49583,WEB_031,20.6,LOW,,0,0.457,1,0,0,0,0,0,1,0,0,0,0,0,LOW,
46122.49583,WEB_032,15,LOW,,0,0.101,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Emotional Induction
46122.49583,WEB_033,44.6,MEDIUM,,0.187,0.791,1,1,0.173,0,0,0.345,1,0,0.058,0,0,0,HIGH,Emotional Induction
46122.49583,AD_034,46.4,MEDIUM,,0,0.131,1,1,0,0,0,0.63,1,0,0,1,1,0,HIGH,Desire Activation
46122.49583,AD_035,40.9,MEDIUM,,0.317,0.198,0.396,1,0,0,0,0,1,0,0,1,1,0,HIGH,Desire Activation
46122.49583,AD_037,14,LOW,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Potential concealment of adverse info
46122.49583,AD_038,20.5,LOW,,0,0.222,0,1,0,0,0,0,0,0,0.71,0,0,0,MEDIUM,No academic/empirical support
46122.49583,AD_039,31.8,LOW,,0,1,0,1,0,0,0,0,0,0,0.305,1,0,0,MEDIUM,No academic/empirical support
46122.49583,AD_040,25.3,LOW,,0,0.181,0,1,0.434,0,0,0,0,0,0,1,0,0,MEDIUM,No academic/empirical support
46122.49583,AD_041,10,LOW,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,LOW,No academic/empirical support
46122.49583,AD_042,24,LOW,,0.086,0.061,0,1,0.293,0,0,0,0,0,0,1,0,0,LOW,No academic/empirical support
46122.49583,AD_043,14.6,LOW,,0,0.063,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Potential concealment of adverse info
46122.49583,AD_044,14,LOW,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Potential concealment of adverse info
46122.49583,AD_045,0,LOW,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDIUM,Potential concealment of adverse info
46122.49583,AD_046,0,LOW,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MEDIUM,Potential concealment of adverse info
46122.49583,AD_047,14,LOW,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Potential concealment of adverse info
46122.49583,AD_048,15,LOW,,0,0.105,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Potential concealment of adverse info
46122.49583,AD_049,14,LOW,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Potential concealment of adverse info
46122.49583,AD_050,14,LOW,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Potential concealment of adverse info
46122.49583,AD_051,14,LOW,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Potential concealment of adverse info
46122.49583,AD_052,14,LOW,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,MEDIUM,Potential concealment of adverse info
46122.49583,AD_053,10,LOW,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,LOW,
46122.49583,AD_054,24,LOW,,0.086,0.061,0,1,0.293,0,0,0,0,0,0,1,0,0,MEDIUM,No academic/empirical support
46122.49583,BL_034,10,LOW,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,LOW,
46122.49583,WEB_035,20.4,LOW,,1,0.836,0,0,0,0,0,0,0,0,0,0,0,0,MEDIUM,No academic/empirical support
46122.49583,WEB_043,8.3,LOW,,0,0.232,0,0,0,0,0,0,0,0,0,1,0,0,LOW,No academic/empirical support
46122.49583,AD_58,35.5,MEDIUM,,0.496,0.103,0.621,0.827,0,0,0,0,0,0,1,1,0,0,MEDIUM,Emotional Induction
46122.49583,BL_060,39,MEDIUM,,0,0.172,1,1,0.331,0,0,0,0.827,0,0,1,0,0.827,HIGH,Desire Activation
46122.49583,note_059,27.3,LOW,,0,0.126,0.755,1,0,0,0,0,0,0,0,1,0,0,MEDIUM,Emotional Induction
46122.49583,note_062,42.1,MEDIUM,,1,0.872,0,0,0.838,0,0,0.838,1,0,0,0,0,0,HIGH,Emotional Induction
46122.49583,SN_061,16.8,LOW,,0,0.875,1,0,0,0,0,0,0,0,0,0,0,0,MEDIUM,Emotional Induction
46122.49583,WEB_063,32.7,LOW,,0,0.376,1,0.941,0.226,0,0,0,0,0,0,1,0,0,MEDIUM,Emotional Induction
46122.49583,WEB_064,29.5,LOW,,0,0.749,1,0.998,0,0,0,0,0,0,0,0,0,0,HIGH,Emotional Induction
46122.49583,AD_065,46.3,MEDIUM,,0,0.13,1,1,0,0,0,0.623,1,0,0,1,1,0,HIGH,Desire Activation
