target,genre_code,genre_name,confidence,needs_human,reason,human_label,txt_path
AD_020,4,教育・自己啓発,0.067,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\AD_020_20260326.txt
SN_005,4,教育・自己啓発,0.25,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\SN_005_20260326.txt
SN_006,6,その他,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\SN_006_20260326.txt
SN_009,3,恋愛・人間関係,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\SN_009_20260326.txt
SN_010,6,その他,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\SN_010_20260326.txt
SN_011,1,投資・金融,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\SN_011_20260326.txt
SN_012,2,カルト・宗教,0.0,True,auto,LOW,D:\r8_strategy\corpus\corpus_archive\SN_012_20260326.txt
SN_013,2,カルト・宗教,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\SN_013_20260326.txt
SN_015,6,その他,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\SN_015_20260326.txt
Bl_026,4,教育・自己啓発,0.344,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\Bl_026_20260331.txt
WEB_022,1,投資・金融,0.042,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\WEB_022_20260331.txt
WEB_023,1,投資・金融,0.19,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\WEB_023_20260331.txt
AD_030,1,投資・金融,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\AD_030_20260401.txt
AD_037,6,その他,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\AD_037_20260402.txt
AD_041,3,恋愛・人間関係,0.143,True,auto,LOW,D:\r8_strategy\corpus\corpus_archive\AD_041_20260402.txt
AD_043,6,その他,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\AD_043_20260402.txt
AD_044,6,その他,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\AD_044_20260402.txt
AD_045,6,その他,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\AD_045_20260402.txt
AD_052,6,その他,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\AD_052_20260402.txt
AD_053,3,恋愛・人間関係,0.143,True,auto,LOW,D:\r8_strategy\corpus\corpus_archive\AD_053_20260402.txt
WEB_035,2,カルト・宗教,0.238,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\WEB_035_20260402.txt
WEB_043,3,恋愛・人間関係,0.0,True,auto,LOW,D:\r8_strategy\corpus\corpus_archive\WEB_043_20260402.txt
note_062,4,教育・自己啓発,0.292,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note_062_20260403.txt
SN_061,1,投資・金融,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\SN_061_20260403.txt
AD_071,6,その他,0.0,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\AD_071_20260404.txt
AD_076,3,恋愛・人間関係,0.143,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\AD_076_20260404.txt
AD_084,3,恋愛・人間関係,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\AD_084_20260404.txt
note_085,4,教育・自己啓発,0.333,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note_085_20260404.txt
Web_088,2,カルト・宗教,0.286,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\Web_088_20260406.txt
Web_091,3,恋愛・人間関係,0.042,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\Web_091_20260406.txt
note_097,3,恋愛・人間関係,0.308,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note_097_20260409.txt
note115,3,恋愛・人間関係,0.217,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\note115.txt
note118,2,カルト・宗教,0.25,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note118.txt
note121,2,カルト・宗教,0.174,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note121.txt
note122,2,カルト・宗教,0.25,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note122.txt
note123,2,カルト・宗教,0.214,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note123.txt
note124,2,カルト・宗教,0.222,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note124.txt
note125,2,カルト・宗教,0.037,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note125.txt
note126,5,政治・陰謀,0.159,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note126.txt
note127,4,教育・自己啓発,0.079,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note127.txt
note128,5,政治・陰謀,0.016,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note128.txt
note131,1,投資・金融,0.25,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note131.txt
web133,6,その他,0.0,True,auto,LOW,D:\r8_strategy\corpus\corpus_archive\web133.txt
web134,4,教育・自己啓発,0.286,True,auto,LOW,D:\r8_strategy\corpus\corpus_archive\web134.txt
web135,4,教育・自己啓発,0.188,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web135.txt
web138,2,カルト・宗教,0.19,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\web138.txt
web142,5,政治・陰謀,0.211,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web142.txt
web145,5,政治・陰謀,0.167,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web145.txt
web146,2,カルト・宗教,0.038,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web146.txt
note164,1,投資・金融,0.333,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note164.txt
note165,1,投資・金融,0.125,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\note165.txt
note167,3,恋愛・人間関係,0.333,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note167.txt
note168,3,恋愛・人間関係,0.333,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note168.txt
note170,1,投資・金融,0.2,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note170.txt
note171,1,投資・金融,0.2,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note171.txt
note173,3,恋愛・人間関係,0.1,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note173.txt
note174,3,恋愛・人間関係,0.067,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note174.txt
note175,3,恋愛・人間関係,0.2,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note175.txt
note176,3,恋愛・人間関係,0.0,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note176.txt
note177,3,恋愛・人間関係,0.1,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note177.txt
note178,3,恋愛・人間関係,0.286,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note178.txt
note179,3,恋愛・人間関係,0.0,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\note179.txt
web154,2,カルト・宗教,0.28,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web154.txt
web180,2,カルト・宗教,0.333,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web180.txt
web182,2,カルト・宗教,0.1,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web182.txt
web183,2,カルト・宗教,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web183.txt
web189,2,カルト・宗教,0.2,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web189.txt
web195,2,カルト・宗教,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web195.txt
web196,5,政治・陰謀,0.071,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web196.txt
vol01,6,その他,0.0,True,txt_not_found,MEDIUM,NOT_FOUND
ir_report.pdf,6,その他,0.0,True,txt_not_found,MEDIUM,NOT_FOUND
web194,6,その他,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web194.txt
web199,2,カルト・宗教,0.062,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web199.txt
web200,6,その他,0.0,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web200.txt
web201,6,その他,0.0,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\web201.txt
web203,2,カルト・宗教,0.0,True,auto,HIGH,D:\r8_strategy\corpus\corpus_archive\web203.txt
web205,5,政治・陰謀,0.1,True,auto,MEDIUM,D:\r8_strategy\corpus\corpus_archive\web205.txt
