timestamp,target,cmi,level,error,authority,emotional,logical,statistical,hype,clickbait,propaganda,fear,enemy_frame,disclaimer_exploit,anonymous_authority,naked_number,sexual_induction,beauty_diet,human_label,riskfactor
2026-04-29 11:13:44,corpus\book\butinukutikara\1章.txt,33.1,LOW,,0.009,0.438,1.0,0.877,0.131,0.0,0.0,0.0,0.164,0.0,0.0,1.0,0.0,0.0,,
2026-04-29 11:13:44,corpus\book\butinukutikara\2章.txt,49.8,HIGH,,0.393,0.407,1.0,1.0,0.442,0.0,0.0,0.631,0.552,0.0,0.0,1.0,0.0,0.0,,
2026-04-29 11:13:44,corpus\book\butinukutikara\3章.txt,42.2,HIGH,,0.173,0.327,1.0,1.0,0.405,0.0,0.0,0.355,0.317,0.0,0.034,1.0,0.0,0.127,,
2026-04-29 11:13:44,corpus\book\butinukutikara\4章.txt,42.1,HIGH,,0.33,0.454,1.0,1.0,0.182,0.0,0.0,0.363,0.908,0.0,0.0,0.0,0.0,0.0,,
2026-04-29 11:13:44,corpus\book\butinukutikara\5章.txt,28.7,LOW,,0.572,0.063,1.0,0.0,0.902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,
2026-04-29 11:13:44,corpus\book\butinukutikara\6章.txt,37.5,MEDIUM,,0.392,0.245,1.0,1.0,0.0,0.0,0.0,0.523,0.49,0.0,0.044,0.0,0.0,0.0,,
2026-04-29 11:13:44,corpus\book\byousokude_itiokuenkasegujouken\1章.txt,24.4,LOW,,0.033,0.123,0.74,0.247,0.444,0.0,0.0,0.444,0.0,0.0,0.049,1.0,0.0,0.0,,
2026-04-29 11:13:44,corpus\book\byousokude_itiokuenkasegujouken\2章.txt,46.6,HIGH,,0.455,0.198,1.0,0.907,0.68,0.0,0.68,0.408,0.851,0.0,0.045,0.0,0.0,0.0,,
2026-04-29 11:13:44,corpus\book\byousokude_itiokuenkasegujouken\3章.txt,34.6,LOW,,0.0,0.093,0.977,1.0,0.335,0.0,0.0,0.112,0.14,0.0,0.186,1.0,0.0,0.0,,
2026-04-29 11:13:44,corpus\book\byousokude_itiokuenkasegujouken\4章.txt,35.0,MEDIUM,,0.018,0.414,1.0,1.0,0.265,0.0,0.0,0.0,0.0,0.0,0.088,1.0,0.0,0.0,,
2026-04-29 11:13:44,corpus\book\byousokude_itiokuenkasegujouken\5章.txt,18.6,LOW,,0.016,0.444,1.0,0.104,0.251,0.0,0.0,0.0,0.313,0.0,0.0,0.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\byousokude_itiokuenkasegujouken\6章.txt,31.4,LOW,,0.139,0.254,1.0,0.761,0.913,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\byousokude_itiokuenkasegujouken\7章.txt,42.7,HIGH,,0.034,0.115,1.0,1.0,0.185,0.0,0.0,0.369,1.0,0.0,0.123,1.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\kimiwanazehatarakuka\ch1.txt,35.0,MEDIUM,,0.301,0.812,1.0,0.842,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\kimiwanazehatarakuka\ch2.txt,27.7,LOW,,0.548,0.469,1.0,0.104,0.751,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\kimiwanazehatarakuka\ch3.txt,27.0,LOW,,0.492,0.487,1.0,0.205,0.369,0.0,0.0,0.0,0.307,0.0,0.0,0.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\kimiwanazehatarakuka\ch4.txt,23.4,LOW,,0.0,0.434,1.0,0.145,0.694,0.0,0.0,0.0,0.434,0.0,0.0,0.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\kimiwanazehatarakuka\ch5.txt,35.2,MEDIUM,,0.0,0.789,1.0,0.421,0.757,0.0,0.0,0.126,0.789,0.0,0.0,0.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\kimiwanazehatarakuka\ch6.txt,38.2,MEDIUM,,0.506,0.211,1.0,0.422,0.506,0.0,0.0,0.506,1.0,0.0,0.0,0.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\kyouikunohoukai\ch1.txt,44.0,HIGH,,0.256,0.381,1.0,0.814,0.366,0.0,0.0,0.854,1.0,0.0,0.0,0.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\kyouikunohoukai\ch2.txt,34.7,LOW,,0.272,0.684,1.0,1.0,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\kyouikunohoukai\ch3.txt,33.8,LOW,,0.257,0.467,1.0,1.0,0.354,0.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\kyouikunohoukai\ch4.txt,38.1,MEDIUM,,0.751,0.383,1.0,1.0,0.184,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,,
2026-04-29 11:13:45,corpus\book\kyouikunohoukai\ch5.txt,35.7,MEDIUM,,0.423,0.223,1.0,1.0,0.306,0.0,0.0,0.306,0.191,0.0,0.0,0.0,0.0,0.0,,
