source,label,note
test/20210126-mxt_syoto02-000012321_2-4.pdf,LOW,文科省中教審答申・CMI34.2
https://kyoko-np.net/2026030401.html,LOW,虚構新聞・風刺記事・設計外・CMI37.2
https://web-mu.jp/spiritual/67811/,MEDIUM,スピリチュアル系体験談・JS動的・CMI11.4（テキスト不足）
https://micropreneur.jp/voice160t/,MEDIUM,投資・自己啓発系LP・CMI22.0
https://item.rakuten.co.jp/fanfareshop/rsc01_14p/,MEDIUM,楽天ダイエットコーヒーLP・JS動的・CMI11.0（テキスト不足）
https://fxtrade.co.jp,HIGH,FX投資系トップページ・CMI32.4（トップページのみ）
https://www.mhlw.go.jp/stf/newpage_40000.html,LOW,厚労省報道発表・CMI6.3
https://www.jetro.go.jp/world/reports/,LOW,JETRO海外ビジネス調査レポート・CMI0.0
https://www.caa.go.jp/policies/policy/consumer_system/collective_redress/index.html,LOW,消費者庁法的制度解説・CMI0.0
https://www.is6.com/ja/promotions/bonus-v1,MEDIUM,FX投資ボーナスLP・Emotional+AnonymousAuth検出・CMI18.0
https://www.forestpub.co.jp/author/spiritual_akiko/lp/alchemist2/program2024/sale_da/,LOW,CMI0.0・自動追記
https://www.value-press.com/pressrelease/321703,LOW,CMI34.5・自動追記
https://plais.net/read/,LOW,CMI31.9・自動追記
https://www.city.ise.mie.jp/kurashi/soudan/syouhiseikatsu/1015222/1014324.html,LOW,CMI6.0・自動追記
https://bitcastle.io/ja/lp/signup,LOW,CMI0.0・自動追記
https://shikaku-get.jp/lp/speed/,LOW,CMI0.0・自動追記
https://gold-club.jp/member/,LOW,CMI0.0・自動追記
https://sputniknews.jp/,LOW,CMI0.0・自動追記
https://inoue.myearth.jp/240116raise-the-vibration/,LOW,CMI12.4・自動追記
https://raysee.jp/column/archives/vibration,LOW,CMI0.0・自動追記
https://comlabollc.co.jp/blog/2025/09/11/%E3%82%B9%E3%83%94%E3%83%AA%E3%83%81%E3%83%A5%E3%82%A2%E3%83%AB%E3%81%AA%E3%82%A8%E3%83%8D%E3%83%AB%E3%82%AE%E3%83%BC%E3%82%92%E9%AB%98%E3%82%81%E3%82%8B%EF%BD%9C%E6%B3%A2%E5%8B%95%E3%82%92%E4%B8%8A%E3%81%92%E3%82%8B/,LOW,CMI0.0・自動追記
https://divine-messages.hatenablog.com/entry/vibration,LOW,CMI9.9・自動追記
https://coconala.com/blogs/3286014/300814/,LOW,CMI8.0・自動追記
https://be-okay.net/,LOW,CMI8.0・自動追記
https://hikiyoselife.jpn.org/hikiyose-money-easy/,MEDIUM,CMI35.9・自動追記
https://note.com/bellasnote/n/n6117f30391cb,LOW,CMI19.4・自動追記
https://ameblo.jp/kazuminhappiness/entry-12371320065.html,LOW,CMI20.8・自動追記
https://value-press.com/pressrelease/350985,MEDIUM,CMI35.3・自動追記
https://e-kantei.net/lp/spiritual_00028/,LOW,CMI27.7・自動追記
https://ameblo.jp/tarotkarin/entry-12889093391.html,LOW,CMI8.1・自動追記
https://zired.net/twinray-silent/,LOW,CMI34.5・自動追記
https://fortune-star.co.jp/spiritual/%E3%83%84%E3%82%A4%E3%83%B3%E3%83%AC%E3%82%A4/final_stage/,HIGH,CMI63.6・v15再スコア
https://feel-i.jp/gopage.php?page=column_202210_02,LOW,CMI25.8・自動追記
https://www.g-ms.co.jp/blog/alternative-medicine/,MEDIUM,CMI48.6・自動追記
https://gmcl.jp/selftreatment/,LOW,CMI21.0・自動追記
https://www.cancer-support.net/integrated-medicine/,LOW,CMI34.0・自動追記
https://ameblo.jp/malanmalan2025/entry-12902156102.html,LOW,CMI0.0・自動追記
https://laviestella.co.jp/magazine/lightworker/,LOW,CMI30.2・自動追記
https://nihon-homeopathy.net/selfcare/remedy/42essential.htm,LOW,CMI23.3・自動追記
https://homoeopathy-center.org/thought/encounter/,LOW,CMI8.0・自動追記
https://www.jpsh.jp/%E3%83%9B%E3%83%A1%E3%82%AA%E3%83%91%E3%82%B7%E3%83%BC%E3%81%A8%E3%81%AF/q-a/,LOW,CMI32.0・自動追記
https://1study.jp/life-changes-17-minutes-earth-is-not-round-earth-plane-theory-the-mysteries-of-flateras/ishii/,LOW,CMI23.2・自動追記
https://michirich.co.jp/flat-earth/,LOW,CMI30.3・自動追記
https://ginza-rengadori.com/blog/post-1008/,LOW,CMI28.0・自動追記
https://stressfree.jp/column/1886/,MEDIUM,CMI36.9・自動追記
https://comlabollc.co.jp/blog/2025/09/11/%E6%B3%A2%E5%8B%95%E3%81%8C%E9%AB%98%E3%81%84%E3%81%A8%E3%81%A9%E3%81%86%E3%81%AA%E3%82%8B%EF%BD%9C%E6%B3%A2%E5%8B%95%E3%81%AE%E3%82%B9%E3%83%94%E3%83%AA%E3%83%81%E3%83%A5%E3%82%A2%E3%83%AB%E3%81%AA%E6%84%8F%E5%91%B3/,LOW,CMI0.0・自動追記
https://go2senkyo.com/seijika/184898/posts/1086492,MEDIUM,CMI43.8・自動追記
data/samples/high/fortune_star_twinray.txt,MEDIUM,CMI48.4・自動追記
https://sanseito.jp/,LOW,CMI28.7・自動追記
https://square.umin.ac.jp/massie-tmd/ishamuke_dema.html,LOW,CMI25.8・自動追記
data/samples/high/test_conspiracy.txt,LOW,CMI28.0・自動追記
data/samples/high/test_v16.txt,LOW,CMI12.0・自動追記
https://leaders-agency.com/media/archives/240,HIGH,CMI63.1・自動追記
https://ishiki-surfing.com/senzaiishiki-hado/,MEDIUM,CMI40.4・自動追記
https://new-ing.net/column/315,MEDIUM,CMI55.8・自動追記
https://media.k2-assurance.com/archives/37112,MEDIUM,CMI43.9・自動追記
https://ameblo.jp/akiyaccoro/entry-12883425024.html,MEDIUM,CMI38.0・自動追記
https://yoshuku.jp/archives/11799,MEDIUM,CMI38.1・自動追記
https://senzaiishiki-training.com/%E3%81%8A%E9%87%91-%E5%BC%95%E3%81%8D%E5%AF%84%E3%81%9B%E3%81%AE%E6%B3%95%E5%89%87-%E4%BD%93%E9%A8%93%E8%AB%87,MEDIUM,CMI40.0・自動追記
https://www.jcp.or.jp/akahata/aik25/2025-08-19/2025081904_01_0.html,MEDIUM,CMI47.0・自動追記
https://j.people.com.cn/n3/2025/1224/c94474-20406297.html,MEDIUM,CMI17.3・人民日報政治論評・Fear+EnemyFrame構造・スカラーLOWだがベクトル方向性でMEDIUM判定
https://sputniknews.jp/20250423/,MEDIUM,CMI10.9・スプートニク日本語版・EnemyFrame1.00単独突出・スカラーLOWだがベクトル方向性でMEDIUM判定
